ncbi_id,gene_name,ensembl_id
445175,acsl1b,ENSDARG00000003854
555308,acsl1a,ENSDARG00000030514
447860,acsl5,ENSDARG00000075931
567157,acsl3a,ENSDARG00000032079
335159,acsbg2,ENSDARG00000004094
334561,acsl4b,ENSDARG00000010752
566863,acsl6,
393622,acsl4a,ENSDARG00000004078
494096,zgc:101540,
553981,sptlc1,ENSDARG00000042995
445168,sptlc3,ENSDARG00000030743
553646,sptlc2a,ENSDARG00000018976
557286,sptlc2b,ENSDARG00000074287
565743,pld2,ENSDARG00000034262
556641,pld1a,ENSDARG00000056228
799278,si:ch211-168k14.2,
572492,pld1b,ENSDARG00000057125
436622,zgc:92162,ENSDARG00000099344
641423,pla2g3,ENSDARG00000008948
402802,pla2g12a,ENSDARG00000070454
559087,pla2g4ab,ENSDARG00000017141
30554,pla2g4aa,ENSDARG00000024546
571738,pla2g1b,ENSDARG00000009153
406739,pla2g12b,ENSDARG00000015662
406370,pla2g6,ENSDARG00000060921
327566,lpcat4,ENSDARG00000035028
553683,lpcat2,ENSDARG00000053010
555969,lpcat1,ENSDARG00000011506
555566,lpcat3,ENSDARG00000075178
570720,cept1b,ENSDARG00000021177
322605,chpt1,ENSDARG00000014572
322670,aco2,ENSDARG00000007294
568448,aco1,ENSDARG00000026376
792824,pgp,ENSDARG00000029695
30354,lpl,ENSDARG00000087697
767657,abhd12,ENSDARG00000071004
799085,abhd6a,ENSDARG00000060756
378960,mgll,ENSDARG00000036820
393984,aacs,ENSDARG00000012468
394190,hmgcl,ENSDARG00000021220
100037356,bdh1,ENSDARG00000059388
550507,bdh2,ENSDARG00000052696 ENSDARG00000052700
322372,fah,ENSDARG00000101762
445287,hpdb,ENSDARG00000044935
394142,hpda,ENSDARG00000018351
751093,mif,ENSDARG00000071336
641488,ugt1a1,ENSDARG00000006220
406731,ugt1ab,ENSDARG00000006220
570913,ugt5g1,ENSDARG00000032862
553952,ugt2a2,ENSDARG00000051940
100006320,ugt2a1,ENSDARG00000051940
792506,ugt2b6,ENSDARG00000091624
192315,uxs1,ENSDARG00000056102
393305,hyi,ENSDARG00000030166
794667,otc,ENSDARG00000062147
393526,mtap,ENSDARG00000037261
406433,dhdh.1,ENSDARG00000028336
449558,dhdh.2,ENSDARG00000019081
378446,dhcr7,ENSDARG00000103226
563363,cyp11a2,ENSDARG00000092696
80374,cyp11a1,ENSDARG00000002347
494102,dhcr24,ENSDARG00000013236
564424,soat1,ENSDARG00000062297
322481,cel.1,ENSDARG00000017490
406713,lipf,ENSDARG00000018529
573994,,
394148,cyp7a1,ENSDARG00000069018
406528,tdh,ENSDARG00000002745
555330,etnk2,ENSDARG00000070213
565971,etnk1,ENSDARG00000019420
562316,kl,ENSDARG00000079862
571441,gusb,ENSDARG00000063126
450068,asah1a,ENSDARG00000037091
550266,acer1,ENSDARG00000010347
100331179,acer2,ENSDARG00000077782
493602,asah2,ENSDARG00000012829
393549,asah1b,ENSDARG00000034817
791197,zgc:158263,ENSDARG00000037267
558496,cerk,ENSDARG00000069169
553944,ugcg,ENSDARG00000058221
796436,lct,ENSDARG00000092404
559072,gba,ENSDARG00000076058
553508,ugt8,ENSDARG00000037455
406696,pgk1,ENSDARG00000054191
321928,phgdh,ENSDARG00000001873
570678,glyctk,ENSDARG00000060120
436903,bpgm,ENSDARG00000070826
323107,pgam1a,ENSDARG00000005423
327165,pgam1b,ENSDARG00000014068
572733,pgam2,ENSDARG00000057571
403070,rgn,ENSDARG00000098645
406762,pgd,ENSDARG00000015343
334897,rpe,ENSDARG00000005251
436919,ada,ENSDARG00000003113
402953,pnp6,ENSDARG00000040942
791647,pnp5a,ENSDARG00000078619
437016,tk2,ENSDARG00000046127
