ensemble_orig,zdb_id,ensembl,ncbi_id
ENSDARG00000076070,ZDB-GENE-040724-191,ENSDARG00000076070,undef
ENSDARG00000024785,ZDB-GENE-060815-3,ENSDARG00000024785,567500
ENSDARG00000029415,ZDB-GENE-021210-2,ENSDARG00000029415,286741
ENSDARG00000053753,ZDB-GENE-040426-1510,ENSDARG00000053753,393508
ENSDARG00000076667,ZDB-GENE-020322-1,ENSDARG00000076667,171473
ENSDARG00000078060,ZDB-GENE-090601-6,ENSDARG00000078060,100334336
ENSDARG00000040741,ZDB-GENE-070912-690,ENSDARG00000040741,555922
ENSDARG00000076754,ZDB-GENE-050913-8,ENSDARG00000076754,554532
ENSDARG00000109686,ZDB-GENE-160113-50,ENSDARG00000109686,100535402
ENSDARG00000078688,ZDB-GENE-131121-119,ENSDARG00000078688,100330147
ENSDARG00000020621,ZDB-GENE-061025-1,ENSDARG00000020621,562166
ENSDARG00000039185,ZDB-GENE-050417-13,ENSDARG00000039185,550227
ENSDARG00000104826,ZDB-GENE-041118-16,ENSDARG00000104826,503571
ENSDARG00000068587,ZDB-GENE-040426-2116,ENSDARG00000068587,406386
ENSDARG00000035871,ZDB-GENE-030131-8657,ENSDARG00000035871,336713
ENSDARG00000019496,ZDB-GENE-050417-328,ENSDARG00000019496,550494
ENSDARG00000038422,ZDB-GENE-040718-116,ENSDARG00000038422,436692
ENSDARG00000074869,ZDB-GENE-081107-2,ENSDARG00000074869,undef
ENSDARG00000113771,undef,ENSDARG00000113771,undef
ENSDARG00000056672,ZDB-GENE-050410-6,ENSDARG00000056672,548340
ENSDARG00000110690,undef,ENSDARG00000110690,undef
ENSDARG00000007745,ZDB-GENE-040426-2060,ENSDARG00000007745,406359
ENSDARG00000073757,ZDB-GENE-090313-307,ENSDARG00000073757,undef
ENSDARG00000019897,ZDB-GENE-060421-5102,ENSDARG00000019897,678522
ENSDARG00000060257,ZDB-GENE-100212-3,ENSDARG00000060257,334230
ENSDARG00000004680,ZDB-GENE-040718-45,ENSDARG00000004680,436626
ENSDARG00000038030,ZDB-GENE-041008-106,ENSDARG00000038030,449846
ENSDARG00000074262,ZDB-GENE-070912-547,ENSDARG00000074262,564584
ENSDARG00000031702,ZDB-GENE-080225-40,ENSDARG00000031702,566430
ENSDARG00000022599,ZDB-GENE-040426-852,ENSDARG00000022599,393122
ENSDARG00000116748,ZDB-GENE-030131-6069,ENSDARG00000040158,793158
ENSDARG00000070164,ZDB-GENE-081107-29,ENSDARG00000070164,559136
ENSDARG00000061976,ZDB-GENE-081105-129,ENSDARG00000061976,undef
ENSDARG00000032430,ZDB-GENE-040927-20,ENSDARG00000032430,449548
ENSDARG00000025403,ZDB-GENE-031002-11,ENSDARG00000025403,565972
ENSDARG00000076227,ZDB-GENE-060427-5,ENSDARG00000076227,561183
ENSDARG00000115159,undef,ENSDARG00000115159,undef
ENSDARG00000030700,ZDB-GENE-030131-808,ENSDARG00000030700,322089
ENSDARG00000023536,ZDB-GENE-040426-2592,ENSDARG00000023536,406619
ENSDARG00000018726,ZDB-GENE-030131-8662,ENSDARG00000018726,569735
ENSDARG00000100529,ZDB-GENE-111111-2,ENSDARG00000100529,555222
ENSDARG00000076899,ZDB-GENE-090812-1,ENSDARG00000076899,559440
ENSDARG00000098355,ZDB-GENE-040426-1658,ENSDARG00000098355,393675
ENSDARG00000077533,ZDB-GENE-100215-2,ENSDARG00000077533,557270
ENSDARG00000111871,undef,ENSDARG00000111871,undef
ENSDARG00000063684,ZDB-GENE-061027-190,ENSDARG00000063684,768291
ENSDARG00000056328,ZDB-GENE-051120-96,ENSDARG00000056328,557574
ENSDARG00000062181,ZDB-GENE-060825-17,ENSDARG00000062181,558558
ENSDARG00000070575,ZDB-GENE-100922-12,ENSDARG00000070575,556725
ENSDARG00000103984,ZDB-GENE-080219-45,ENSDARG00000103984,100141338
ENSDARG00000017255,ZDB-GENE-070112-1112,ENSDARG00000017255,791158
